pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count
2026-05-23T00:35:12.114,168460,244,0.197,0.293,0.0,50.0,5000,110.0,1,114.28,0.038,2,0.46,0.0,69
2026-05-23T00:35:12.178,168564,513,0.413,0.616,0.347,50.0,5000,110.0,1,114.28,0.038,2,0.46,0.0,69
2026-05-23T00:35:12.301,168669,1240,0.999,1.488,2.965,50.0,5000,110.0,1,114.28,0.038,2,0.46,0.0,69
2026-05-23T00:35:12.414,168774,1298,1.046,1.558,3.174,50.0,5000,110.0,1,114.28,0.038,2,0.46,0.0,69
2026-05-23T00:35:12.519,168879,525,0.423,0.63,0.391,50.0,5000,110.0,1,114.28,0.038,2,0.46,0.0,69
2026-05-23T00:35:12.627,168984,313,0.252,0.376,0.0,50.0,5000,110.0,1,114.28,0.038,2,0.46,0.0,69
2026-05-23T00:35:12.692,169088,905,0.729,1.086,1.759,50.0,5000,110.0,1,114.28,0.038,2,0.46,0.0,69
2026-05-23T00:35:12.815,169193,1384,1.115,1.661,3.484,50.0,5000,110.0,1,114.28,0.038,2,0.46,0.0,69
2026-05-23T00:35:12.939,169298,966,0.778,1.16,1.979,50.0,5000,110.0,1,114.28,0.038,2,0.46,0.0,69
2026-05-23T00:35:13.000,169403,237,0.191,0.284,0.0,50.0,5000,110.0,1,114.55,0.038,2,0.459,0.0,69
2026-05-23T00:35:13.127,169507,476,0.384,0.571,0.214,50.0,5000,110.0,1,114.55,0.038,2,0.459,0.0,69
2026-05-23T00:35:13.252,169612,1224,0.986,1.469,2.908,50.0,5000,110.0,1,114.55,0.038,2,0.459,0.0,69
2026-05-23T00:35:13.314,169717,1343,1.082,1.612,3.336,50.0,5000,110.0,1,114.55,0.038,2,0.459,0.0,69
2026-05-23T00:35:13.439,169822,554,0.446,0.665,0.495,50.0,5000,110.0,1,114.55,0.038,2,0.459,0.0,69
2026-05-23T00:35:13.563,169927,306,0.247,0.367,0.0,50.0,5000,110.0,1,114.55,0.038,2,0.459,0.0,69
2026-05-23T00:35:13.624,170031,867,0.699,1.041,1.622,50.0,5000,110.0,1,114.55,0.038,2,0.459,0.0,69
2026-05-23T00:35:13.751,170136,1395,1.124,1.674,3.523,50.0,5000,110.0,1,114.55,0.038,2,0.459,0.0,69
2026-05-23T00:35:13.877,170241,1000,0.806,1.2,2.101,50.0,5000,110.0,1,114.55,0.038,2,0.459,0.0,69
2026-05-23T00:35:14.001,170374,504,0.406,0.605,0.315,50.0,5000,110.0,1,114.53,0.038,2,0.459,0.0,69
2026-05-23T00:35:14.125,170479,1377,1.11,1.653,3.459,50.0,5000,110.0,1,114.53,0.038,2,0.459,0.0,69
2026-05-23T00:35:14.187,170584,656,0.529,0.787,0.862,50.0,5000,110.0,1,114.53,0.038,2,0.459,0.0,69
2026-05-23T00:35:14.312,170689,271,0.218,0.325,0.0,50.0,5000,110.0,1,114.53,0.038,2,0.459,0.0,69
2026-05-23T00:35:14.435,170793,741,0.597,0.889,1.168,50.0,5000,110.0,1,114.53,0.038,2,0.459,0.0,69
2026-05-23T00:35:14.499,170898,1367,1.102,1.641,3.423,50.0,5000,110.0,1,114.53,0.038,2,0.459,0.0,69
2026-05-23T00:35:14.622,171003,1102,0.888,1.323,2.468,50.0,5000,110.0,1,114.53,0.038,2,0.459,0.0,69
2026-05-23T00:35:14.747,171108,298,0.24,0.358,0.0,50.0,5000,110.0,1,114.53,0.038,2,0.459,0.0,69
2026-05-23T00:35:14.810,171212,342,0.276,0.411,0.0,50.0,5000,110.0,1,114.53,0.038,2,0.459,0.0,69
2026-05-23T00:35:14.934,171316,968,0.78,1.162,1.986,50.0,5000,110.0,1,114.53,0.038,2,0.459,0.0,69
2026-05-23T00:35:15.059,171422,1363,1.098,1.636,3.408,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:15.122,171527,717,0.578,0.861,1.082,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:15.245,171632,263,0.212,0.316,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:15.369,171736,713,0.575,0.856,1.068,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:15.430,171841,1358,1.094,1.63,3.39,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:15.553,171946,1139,0.918,1.367,2.602,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:15.679,172051,332,0.268,0.399,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:15.743,172155,314,0.253,0.377,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:15.866,172259,934,0.753,1.121,1.863,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:15.990,172394,1293,1.042,1.552,3.156,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:16.115,172499,769,0.62,0.923,1.269,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:16.239,172604,1373,1.106,1.648,3.444,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:16.302,172709,1087,0.876,1.305,2.414,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:16.428,172814,296,0.239,0.355,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:16.552,172918,357,0.288,0.429,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:16.616,173022,982,0.791,1.179,2.036,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:16.738,173127,1391,1.121,1.67,3.509,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:16.863,173232,885,0.713,1.062,1.687,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:16.925,173337,242,0.195,0.29,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:17.050,173441,549,0.442,0.659,0.477,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:17.177,173546,1277,1.029,1.533,3.098,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:17.239,173651,1286,1.036,1.544,3.131,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:17.362,173756,467,0.376,0.561,0.182,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:17.484,173861,320,0.258,0.384,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:17.549,173965,939,0.757,1.127,1.881,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:17.673,174070,1397,1.126,1.677,3.531,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:17.798,174175,944,0.761,1.133,1.899,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:17.859,174280,238,0.192,0.286,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:18.046,174413,277,0.223,0.332,0.0,50.0,5000,110.0,1,114.5,0.038,2,0.459,0.0,69
2026-05-23T00:35:18.108,174518,596,0.48,0.715,0.646,50.0,5000,110.0,1,114.5,0.038,2,0.459,0.0,69
2026-05-23T00:35:18.233,174623,293,0.236,0.352,0.0,50.0,5000,110.0,1,114.5,0.038,2,0.459,0.0,69
2026-05-23T00:35:18.357,174727,806,0.65,0.967,1.402,50.0,5000,110.0,1,114.5,0.038,2,0.459,0.0,69
2026-05-23T00:35:18.421,174832,1392,1.122,1.671,3.513,50.0,5000,110.0,1,114.5,0.038,2,0.459,0.0,69
2026-05-23T00:35:18.543,174937,1060,0.854,1.272,2.317,50.0,5000,110.0,1,114.5,0.038,2,0.459,0.0,69
2026-05-23T00:35:18.669,175042,282,0.227,0.338,0.0,50.0,5000,110.0,1,114.5,0.038,2,0.459,0.0,69
2026-05-23T00:35:18.731,175146,375,0.302,0.45,0.0,50.0,5000,110.0,1,114.5,0.038,2,0.459,0.0,69
2026-05-23T00:35:18.857,175250,1014,0.817,1.217,2.151,50.0,5000,110.0,1,114.5,0.038,2,0.459,0.0,69
2026-05-23T00:35:18.981,175355,1404,1.131,1.685,3.556,50.0,5000,110.0,1,114.5,0.038,2,0.459,0.0,69
2026-05-23T00:35:19.043,175461,625,0.504,0.75,0.751,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:19.166,175566,266,0.214,0.319,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:19.292,175670,746,0.601,0.895,1.186,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:19.356,175775,1367,1.102,1.641,3.423,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:19.481,175880,1110,0.895,1.332,2.497,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:19.605,175985,314,0.253,0.377,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:19.667,176089,332,0.268,0.399,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:19.793,176193,956,0.77,1.148,1.943,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:19.917,176298,1400,1.128,1.68,3.541,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:20.042,176433,1254,1.011,1.505,3.016,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:20.165,176538,1384,1.115,1.661,3.484,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:20.225,176643,1089,0.878,1.307,2.421,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:20.338,176748,299,0.241,0.359,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
2026-05-23T00:35:20.461,176852,357,0.288,0.429,0.0,50.0,5000,110.0,1,114.48,0.038,2,0.459,0.0,69
