pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,valve_open_count,valve_state_label,valve_phase
2026-05-24T23:38:54.259,1780583,491,0.396,0.589,0.268,40.0,5000,88.0,1,5.98,0.021,0,0.0,0.0,718,5,5 keran stabil,stable
2026-05-24T23:38:54.817,1781150,490,0.395,0.588,0.264,40.0,5000,88.0,1,5.97,0.021,0,0.0,0.0,718,5,5 keran stabil,stable
2026-05-24T23:38:55.317,1781670,491,0.396,0.589,0.268,40.0,5000,88.0,1,5.97,0.021,0,0.0,0.0,718,5,5 keran stabil,stable
2026-05-24T23:38:55.816,1782187,470,0.379,0.564,0.192,40.0,5000,88.0,1,5.96,0.021,0,0.0,0.0,718,5,5 keran stabil,stable
2026-05-24T23:38:56.375,1782707,489,0.394,0.587,0.261,40.0,5000,88.0,1,5.96,0.021,0,0.0,0.0,718,5,5 keran stabil,stable
2026-05-24T23:38:56.936,1783273,490,0.395,0.588,0.264,40.0,5000,88.0,1,5.96,0.021,0,0.0,0.0,718,5,5 keran stabil,stable
2026-05-24T23:38:57.433,1783793,491,0.396,0.589,0.268,40.0,5000,88.0,1,5.96,0.021,0,0.0,0.0,718,5,5 keran stabil,stable
2026-05-24T23:38:58.056,1784414,490,0.395,0.588,0.264,40.0,5000,88.0,1,7.14,0.024,0,0.0,0.0,718,5,5 keran stabil,stable
2026-05-24T23:38:58.618,1784981,499,0.402,0.599,0.297,40.0,5000,88.0,1,10.11,0.033,0,0.0,0.0,718,5,5 keran stabil,stable
2026-05-24T23:38:59.113,1785501,497,0.401,0.597,0.29,40.0,5000,88.0,1,10.11,0.033,0,0.0,0.0,718,5,5 keran stabil,stable
2026-05-24T23:38:59.672,1786017,493,0.397,0.592,0.275,40.0,5000,88.0,1,13.91,0.051,0,0.0,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:00.171,1786537,487,0.392,0.585,0.254,40.0,5000,88.0,1,13.91,0.051,0,0.0,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:00.733,1787105,554,0.446,0.665,0.495,40.0,5000,88.0,1,16.8,0.069,1,0.862,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:01.233,1787630,491,0.396,0.589,0.268,40.0,5000,88.0,1,16.8,0.069,1,0.862,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:01.851,1788205,489,0.394,0.587,0.261,40.0,5000,88.0,1,18.41,0.079,1,0.687,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:02.350,1788729,488,0.393,0.586,0.257,40.0,5000,88.0,1,18.41,0.079,1,0.687,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:02.849,1789252,485,0.391,0.582,0.246,40.0,5000,88.0,1,21.04,0.095,1,0.5,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:03.411,1789777,505,0.407,0.606,0.318,40.0,5000,88.0,1,21.04,0.095,1,0.5,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:03.969,1790329,463,0.373,0.556,0.167,40.0,5000,88.0,1,22.46,0.104,2,0.856,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:04.468,1790854,485,0.391,0.582,0.246,40.0,5000,88.0,1,22.46,0.104,2,0.856,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:04.969,1791377,488,0.393,0.586,0.257,40.0,5000,88.0,1,25.26,0.121,2,0.654,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:05.526,1791939,465,0.375,0.558,0.174,40.0,5000,88.0,1,29.82,0.148,3,0.679,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:06.088,1792464,484,0.39,0.581,0.243,40.0,5000,88.0,1,29.82,0.148,3,0.679,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:06.648,1793038,480,0.387,0.576,0.228,40.0,5000,88.0,1,32.55,0.164,4,0.749,0.0,718,5,5 keran stabil,stable
2026-05-24T23:39:07.144,1793563,488,0.393,0.586,0.257,40.0,5000,88.0,1,32.55,0.164,4,0.749,0.0,718,5,5 keran stabil,stable
