pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,valve_open_count,valve_state_label,valve_phase
2026-06-04T00:44:47.420,2937456,163,0.1286,0.19133333333333333,0.0,50.0,5000,110.0,1,21.89,0.103,2,0.887,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:47.949,2937981,159,0.13,0.19340000000000002,0.0,50.0,5000,110.0,1,21.89,0.103,2,0.887,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:48.512,2938543,159,0.12993333333333335,0.19333333333333333,0.0,50.0,5000,110.0,1,21.89,0.103,2,0.887,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:49.012,2939068,157,0.1282,0.19066666666666665,0.0,50.0,5000,110.0,1,21.89,0.103,2,0.887,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:49.512,2939537,161,0.1282,0.1908,0.0,50.0,5000,110.0,1,21.89,0.103,2,0.887,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:50.017,2940062,161,0.12773333333333334,0.1902,0.0,50.0,5000,110.0,1,21.89,0.103,2,0.887,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:50.516,2940585,160,0.12793333333333334,0.19053333333333333,0.0,50.0,5000,110.0,1,21.88,0.103,2,0.887,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:51.078,2941110,160,0.1268,0.18873333333333334,0.0,50.0,5000,110.0,1,21.88,0.103,2,0.887,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:51.638,2941672,155,0.1270666666666667,0.189,0.0,50.0,5000,110.0,1,21.96,0.104,2,0.875,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:52.144,2942197,159,0.1270666666666667,0.18913333333333335,0.0,50.0,5000,110.0,1,21.96,0.104,2,0.875,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:52.640,2942676,158,0.1282,0.19093333333333332,0.0,50.0,5000,110.0,1,23.81,0.115,2,0.73,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:53.145,2943201,160,0.12826666666666667,0.19113333333333332,0.0,50.0,5000,110.0,1,23.81,0.115,2,0.73,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:53.710,2943776,159,0.1278,0.19046666666666667,0.0,50.0,5000,110.0,1,29.04,0.147,3,0.702,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:54.274,2944301,157,0.12773333333333334,0.19026666666666667,0.0,50.0,5000,110.0,1,29.04,0.147,3,0.702,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:54.777,2944823,160,0.12733333333333335,0.18973333333333334,0.0,50.0,5000,110.0,1,31.75,0.164,4,0.768,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:55.334,2945385,160,0.1274,0.1896,0.0,50.0,5000,110.0,1,33.31,0.173,5,0.867,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:55.835,2945910,159,0.1272,0.1894,0.0,50.0,5000,110.0,1,33.31,0.173,5,0.867,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:56.410,2946484,160,0.1278,0.19013333333333332,0.0,50.0,5000,110.0,1,34.37,0.18,5,0.808,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:56.970,2947009,155,0.12846666666666667,0.19106666666666666,0.0,50.0,5000,110.0,1,34.37,0.18,5,0.808,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:57.469,2947532,158,0.12853333333333333,0.19126666666666667,0.0,50.0,5000,110.0,1,34.38,0.18,5,0.807,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:57.968,2948057,156,0.12713333333333335,0.1892,0.0,50.0,5000,110.0,1,34.38,0.18,5,0.807,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:58.468,2948514,159,0.12666666666666665,0.18873333333333334,0.0,50.0,5000,110.0,1,34.39,0.18,5,0.807,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:58.969,2949039,161,0.12753333333333333,0.18986666666666666,0.0,50.0,5000,110.0,1,34.39,0.18,5,0.807,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:44:59.531,2949614,157,0.12813333333333335,0.1906,0.0,50.0,5000,110.0,1,34.38,0.18,5,0.807,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:00.032,2950139,158,0.12813333333333335,0.19073333333333334,0.0,50.0,5000,110.0,1,34.38,0.18,5,0.807,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:00.593,2950661,162,0.12626666666666667,0.18793333333333334,0.0,50.0,5000,110.0,1,34.37,0.18,5,0.808,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:01.216,2951291,159,0.127,0.1892,0.0,50.0,5000,110.0,1,34.37,0.18,5,0.808,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:01.777,2951853,156,0.1278,0.19026666666666667,0.0,50.0,5000,110.0,1,36.12,0.191,6,0.869,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:02.338,2952427,157,0.12753333333333333,0.18986666666666666,0.0,50.0,5000,110.0,1,38.35,0.204,7,0.894,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:02.838,2952953,160,0.12760000000000002,0.1898,0.0,50.0,5000,110.0,1,38.35,0.204,7,0.894,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:03.400,2953475,160,0.1286,0.19119999999999998,0.0,50.0,5000,110.0,1,40.96,0.22,8,0.887,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:03.904,2954000,161,0.1288,0.19166666666666668,0.0,50.0,5000,110.0,1,40.96,0.22,8,0.887,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:04.466,2954566,159,0.12806666666666666,0.19066666666666665,0.0,50.0,5000,110.0,1,41.2,0.221,8,0.878,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:04.968,2955091,156,0.1274,0.18973333333333334,0.0,50.0,5000,110.0,1,41.2,0.221,8,0.878,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:05.469,2955567,160,0.1272,0.1892,0.0,50.0,5000,110.0,1,41.19,0.221,8,0.878,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:05.967,2956092,158,0.12753333333333333,0.1898,0.0,50.0,5000,110.0,1,41.19,0.221,8,0.878,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:06.468,2956561,158,0.1274,0.18966666666666668,0.0,50.0,5000,110.0,1,43.32,0.234,9,0.887,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:06.967,2957086,156,0.12813333333333335,0.19073333333333334,0.0,50.0,5000,110.0,1,43.32,0.234,9,0.887,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:07.530,2957609,159,0.12786666666666668,0.19033333333333333,0.0,50.0,5000,110.0,1,46.13,0.252,10,0.86,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:08.029,2958134,157,0.12806666666666666,0.19053333333333333,0.0,50.0,5000,110.0,1,46.13,0.252,10,0.86,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:08.590,2958696,159,0.12786666666666668,0.19033333333333333,0.0,50.0,5000,110.0,1,46.37,0.253,10,0.852,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:09.216,2959326,157,0.1274,0.18946666666666667,0.0,50.0,5000,110.0,1,46.37,0.253,10,0.852,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:09.782,2959905,159,0.12766666666666668,0.19,0.0,50.0,5000,110.0,1,46.36,0.253,10,0.852,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:10.282,2960430,160,0.12766666666666668,0.19013333333333332,0.0,50.0,5000,110.0,1,46.36,0.253,10,0.852,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:10.840,2960958,161,0.128,0.19073333333333334,0.0,50.0,5000,110.0,1,46.38,0.253,10,0.852,0.0,1487,-,Belum ditandai,unset
2026-06-04T00:45:11.403,2961500,153,0.12746666666666667,0.1898,0.0,50.0,5000,110.0,1,46.38,0.253,10,0.852,0.0,1487,-,Belum ditandai,unset
