pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,valve_open_count,valve_state_label,valve_phase
2026-06-05T22:13:02.724,4582538,410,0.340666667,0.497333333,0.013,50,5000,110,1,110.86,0.64,67,0.944,0,3426,-,Belum ditandai,unset
2026-06-05T22:13:03.235,4583060,421,0.3406,0.497066667,0.012733333,50,5000,110,1,110.87,0.642,67,0.941,0,3426,-,Belum ditandai,unset
2026-06-05T22:13:03.750,4583585,424,0.339466667,0.496333333,0.012866667,50,5000,110,1,110.87,0.642,67,0.941,0,3426,-,Belum ditandai,unset
2026-06-05T22:13:04.294,4584147,425,0.339266667,0.4964,0.0116,50,5000,110,1,110.87,0.643,67,0.939,0,3426,-,Belum ditandai,unset
2026-06-05T22:13:04.872,4584672,427,0.340133333,0.4966,0.011333333,50,5000,110,1,110.87,0.643,67,0.939,0,3426,-,Belum ditandai,unset
2026-06-05T22:13:05.401,4585247,395,0.3364,0.4964,0.012266667,50,5000,110,1,110.87,0.643,67,0.939,0,3426,-,Belum ditandai,unset
2026-06-05T22:13:05.963,4585772,413,0.3334,0.495066667,0.011666667,50,5000,110,1,110.87,0.643,67,0.939,0,3426,-,Belum ditandai,unset
2026-06-05T22:13:06.584,4586399,441,0.335466667,0.495733333,0.0128,50,5000,110,1,110.83,0.642,67,0.941,0,3426,-,Belum ditandai,unset
2026-06-05T22:13:07.078,4586924,409,0.338933333,0.493466667,0.011133333,60,5000,132,1,110.83,0.642,67,0.941,0,3426,-,Belum ditandai,unset
2026-06-05T22:13:07.644,4587491,410,0.3364,0.491733333,0.0112,60,5000,132,1,125.28,0.741,89,0.958,0,3426,-,Belum ditandai,unset
2026-06-05T22:13:08.205,4588071,416,0.331933333,0.4886,0.011333333,60,5000,132,1,130.68,0.777,98,0.965,0,3426,-,Belum ditandai,unset
2026-06-05T22:13:08.767,4588596,413,0.333266667,0.4894,0.011666667,60,5000,132,1,130.68,0.777,98,0.965,0,3426,-,Belum ditandai,unset
