pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision
2026-06-14T21:26:08.979,2769998,482,0.379933333,0.550533333,0.155866667,70,5000,154,1,154.84,0.806,123,0.985,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:09.516,2770528,476,0.3788,0.551,0.155466667,70,5000,154,1,154.84,0.806,123,0.985,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:10.105,2771109,462,0.378266667,0.551733333,0.1556,70,5000,154,1,154.85,0.806,122,0.977,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:10.649,2771690,478,0.376466667,0.551133333,0.153866667,70,5000,154,1,154.87,0.804,122,0.979,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:11.158,2772220,475,0.374266667,0.550733333,0.1524,70,5000,154,1,154.87,0.804,122,0.979,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:11.681,2772695,454,0.373866667,0.549533333,0.1504,70,5000,154,1,154.87,0.804,122,0.979,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:12.272,2773332,462,0.374066667,0.548866667,0.148066667,70,5000,154,1,154.87,0.804,122,0.979,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:12.764,2773806,469,0.3766,0.5492,0.1494,70,5000,154,1,154.9,0.805,122,0.978,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:13.262,2774336,465,0.3762,0.5498,0.1494,70,5000,154,1,154.9,0.805,122,0.978,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:13.762,2774811,473,0.3762,0.549466667,0.148733333,70,5000,154,1,154.9,0.803,122,0.98,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:14.265,2775341,463,0.376066667,0.549066667,0.1478,70,5000,154,1,154.9,0.803,122,0.98,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:14.767,2775816,473,0.377866667,0.549,0.147866667,70,5000,154,1,154.87,0.803,122,0.981,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:15.296,2776346,461,0.379466667,0.549,0.147733333,70,5000,154,1,154.87,0.803,122,0.981,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:15.342,2776346,461,0.379466667,0.549,0.147733333,70,5000,154,1,154.87,0.803,122,0.981,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,1
2026-06-14T21:26:15.903,2776927,475,0.381,0.550533333,0.153866667,73,5000,160.6,1,154.88,0.803,122,0.98,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:16.405,2777457,474,0.3836,0.555933333,0.169733333,73,5000,160.6,1,154.88,0.803,122,0.98,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:16.906,2777932,468,0.3834,0.558933333,0.1786,73,5000,160.6,1,161.02,0.811,129,0.987,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:17.405,2778462,470,0.3858,0.5648,0.194533333,73,5000,160.6,1,161.02,0.811,129,0.987,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:17.907,2778937,482,0.385933333,0.565133333,0.194933333,73,5000,160.6,1,161.08,0.811,129,0.987,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:18.404,2779467,465,0.385133333,0.564133333,0.1922,73,5000,160.6,1,161.08,0.811,129,0.987,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:18.856,2779836,482,0.386733333,0.564333333,0.192933333,73,5000,160.6,1,161.05,0.811,129,0.987,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,1
2026-06-14T21:26:18.903,2779942,477,0.387,0.564133333,0.1924,73,5000,160.6,1,161.05,0.811,129,0.987,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:19.403,2780472,500,0.3906,0.570133333,0.210333333,76,5000,167.2,1,161.05,0.811,129,0.987,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:19.902,2780947,493,0.3952,0.576733333,0.2314,76,5000,167.2,1,162.24,0.815,130,0.983,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:20.525,2781583,514,0.4042,0.586,0.2604,76,5000,167.2,1,162.24,0.815,130,0.983,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:21.086,2782164,501,0.405866667,0.5894,0.2716,76,5000,167.2,1,167.26,0.811,134,0.987,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:21.647,2782745,503,0.406133333,0.590266667,0.272733333,76,5000,167.2,1,167.29,0.812,134,0.986,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:22.181,2783275,498,0.403333333,0.590866667,0.273266667,76,5000,167.2,1,167.29,0.812,134,0.986,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:22.364,2783381,500,0.402733333,0.590533333,0.271933333,76,5000,167.2,1,167.29,0.812,134,0.986,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,1
2026-06-14T21:26:22.758,2783855,440,0.398666667,0.589333333,0.267866667,77,5000,169.4,1,167.28,0.812,134,0.986,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:23.320,2784385,503,0.399533333,0.592266667,0.277333333,77,5000,169.4,1,167.28,0.812,134,0.986,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:23.879,2784966,507,0.401866667,0.594,0.282133333,77,5000,169.4,1,169.37,0.812,136,0.988,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T21:26:24.380,2785496,501,0.406866667,0.597466667,0.291933333,77,5000,169.4,1,169.37,0.812,136,0.988,0.01,1916,0,0,3,3 keran stabil,stable,0.3,1,0
