pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_voltage_raw_v,jsy_current_raw_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,event
2026-06-25T01:30:37.872,488549,556,0.45013333333333333,0.6602666666666667,0.4809333333333333,85.0,5000,187.0,1,182.45,0.838,184.85,0.912,167,0.99,0.05,55,1,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:38.432,489119,563,0.45126666666666665,0.6595333333333334,0.47866666666666663,85.0,5000,187.0,1,182.54,0.838,184.93,0.912,168,0.996,0.05,55,1,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:38.982,489649,551,0.4517333333333333,0.6596,0.47866666666666663,85.0,5000,187.0,1,182.54,0.838,184.93,0.912,168,0.996,0.05,55,1,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:39.560,490230,545,0.4504,0.6587333333333334,0.476,81.93,5000,180.25,1,182.32,0.839,184.73,0.913,167,0.99,0.05,55,1,81.93,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:40.121,490811,540,0.444,0.6514666666666666,0.45399999999999996,81.93,5000,180.25,1,178.66,0.828,181.25,0.902,162,0.99,0.05,55,1,81.93,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:40.625,491342,539,0.4402666666666667,0.645,0.43466666666666665,81.93,5000,180.25,1,178.66,0.828,181.25,0.902,162,0.99,0.05,55,1,81.93,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:41.127,491816,537,0.4356666666666667,0.6386000000000001,0.4156,81.93,5000,180.25,1,175.71,0.83,178.45,0.904,160,0.991,0.05,55,1,81.93,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:41.631,492347,535,0.43533333333333335,0.6382,0.41479999999999995,81.93,5000,180.25,1,175.71,0.83,178.45,0.904,160,0.991,0.05,55,1,81.93,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:42.132,492821,542,0.4352,0.6385333333333333,0.41586666666666666,81.93,5000,180.25,1,175.46,0.829,178.21,0.903,160,0.994,0.05,55,1,81.93,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:42.630,493351,541,0.4343333333333333,0.6370666666666668,0.4116666666666667,79.06,5000,173.93,1,175.46,0.829,178.21,0.903,160,0.994,0.05,55,1,79.06,-,Belum ditandai,unset,0.3,1,0,
