sample_no,voltage_v,sample_index,voltage_abs_v
1,-116.0,0,116.0
2,-204.0,1,204.0
3,-268.0,2,268.0
4,-300.0,3,300.0
5,-308.0,4,308.0
6,-316.0,5,316.0
7,-300.0,6,300.0
8,-236.0,7,236.0
9,-156.0,8,156.0
10,-60.0,9,60.0
11,-4.0,10,4.0
12,-4.0,11,4.0
13,-4.0,12,4.0
14,-4.0,13,4.0
15,-12.0,14,12.0
16,-4.0,15,4.0
17,-4.0,16,4.0
18,-4.0,17,4.0
19,-12.0,18,12.0
20,-36.0,19,36.0
21,-116.0,20,116.0
22,-212.0,21,212.0
23,-276.0,22,276.0
24,-300.0,23,300.0
25,-308.0,24,308.0
26,-316.0,25,316.0
27,-300.0,26,300.0
28,-228.0,27,228.0
29,-140.0,28,140.0
30,-52.0,29,52.0
31,-4.0,30,4.0
32,-4.0,31,4.0
33,-4.0,32,4.0
34,-4.0,33,4.0
35,-12.0,34,12.0
36,-12.0,35,12.0
37,-4.0,36,4.0
38,-4.0,37,4.0
39,-4.0,38,4.0
40,-20.0,39,20.0
41,-116.0,40,116.0
42,-204.0,41,204.0
43,-268.0,42,268.0
44,-300.0,43,300.0
45,-308.0,44,308.0
46,-316.0,45,316.0
47,-300.0,46,300.0
48,-236.0,47,236.0
49,-156.0,48,156.0
50,-60.0,49,60.0
51,-4.0,50,4.0
52,-4.0,51,4.0
53,-4.0,52,4.0
54,-4.0,53,4.0
55,-12.0,54,12.0
56,-4.0,55,4.0
57,-4.0,56,4.0
58,-4.0,57,4.0
59,-4.0,58,4.0
60,-20.0,59,20.0
61,-116.0,60,116.0
62,-204.0,61,204.0
63,-268.0,62,268.0
64,-300.0,63,300.0
65,-308.0,64,308.0
66,-316.0,65,316.0
67,-300.0,66,300.0
68,-236.0,67,236.0
69,-156.0,68,156.0
70,-68.0,69,68.0
71,-12.0,70,12.0
72,-4.0,71,4.0
73,-4.0,72,4.0
74,-4.0,73,4.0
75,-12.0,74,12.0
76,-12.0,75,12.0
77,-12.0,76,12.0
78,-4.0,77,4.0
79,-4.0,78,4.0
80,-20.0,79,20.0
81,-108.0,80,108.0
82,-204.0,81,204.0
83,-276.0,82,276.0
84,-300.0,83,300.0
85,-308.0,84,308.0
86,-316.0,85,316.0
87,-300.0,86,300.0
88,-236.0,87,236.0
89,-156.0,88,156.0
90,-60.0,89,60.0
91,-4.0,90,4.0
92,-4.0,91,4.0
93,-12.0,92,12.0
94,-12.0,93,12.0
95,-4.0,94,4.0
96,-4.0,95,4.0
97,-4.0,96,4.0
98,-4.0,97,4.0
99,-12.0,98,12.0
100,-20.0,99,20.0
101,-116.0,100,116.0
102,-204.0,101,204.0
103,-268.0,102,268.0
104,-300.0,103,300.0
105,-316.0,104,316.0
106,-316.0,105,316.0
107,-308.0,106,308.0
108,-236.0,107,236.0
109,-156.0,108,156.0
110,-68.0,109,68.0
111,-4.0,110,4.0
112,-4.0,111,4.0
113,-12.0,112,12.0
114,-12.0,113,12.0
115,-4.0,114,4.0
116,-4.0,115,4.0
117,-4.0,116,4.0
118,-4.0,117,4.0
119,-4.0,118,4.0
120,-28.0,119,28.0
121,-108.0,120,108.0
122,-204.0,121,204.0
123,-276.0,122,276.0
124,-300.0,123,300.0
125,-316.0,124,316.0
126,-316.0,125,316.0
127,-300.0,126,300.0
128,-236.0,127,236.0
129,-156.0,128,156.0
130,-76.0,129,76.0
131,-12.0,130,12.0
132,-12.0,131,12.0
133,-12.0,132,12.0
134,-4.0,133,4.0
135,-4.0,134,4.0
136,-4.0,135,4.0
137,-4.0,136,4.0
138,-12.0,137,12.0
139,-4.0,138,4.0
140,-20.0,139,20.0
141,-108.0,140,108.0
142,-196.0,141,196.0
143,-268.0,142,268.0
144,-300.0,143,300.0
145,-308.0,144,308.0
146,-316.0,145,316.0
147,-308.0,146,308.0
148,-244.0,147,244.0
149,-156.0,148,156.0
150,-68.0,149,68.0
151,-4.0,150,4.0
152,-4.0,151,4.0
153,-4.0,152,4.0
154,-12.0,153,12.0
155,-12.0,154,12.0
156,-4.0,155,4.0
157,-4.0,156,4.0
158,-12.0,157,12.0
159,-4.0,158,4.0
160,-20.0,159,20.0
161,-108.0,160,108.0
162,-204.0,161,204.0
163,-268.0,162,268.0
164,-300.0,163,300.0
165,-308.0,164,308.0
166,-308.0,165,308.0
167,-308.0,166,308.0
168,-244.0,167,244.0
169,-156.0,168,156.0
170,-68.0,169,68.0
171,-12.0,170,12.0
172,-4.0,171,4.0
173,-4.0,172,4.0
174,-4.0,173,4.0
175,-4.0,174,4.0
176,-4.0,175,4.0
177,-4.0,176,4.0
178,-12.0,177,12.0
179,-4.0,178,4.0
180,-20.0,179,20.0
181,-108.0,180,108.0
182,-204.0,181,204.0
183,-268.0,182,268.0
184,-300.0,183,300.0
185,-308.0,184,308.0
186,-316.0,185,316.0
187,-308.0,186,308.0
188,-236.0,187,236.0
189,-156.0,188,156.0
190,-60.0,189,60.0
191,-12.0,190,12.0
192,-4.0,191,4.0
193,-4.0,192,4.0
194,-4.0,193,4.0
195,-4.0,194,4.0
196,-4.0,195,4.0
197,-12.0,196,12.0
198,-4.0,197,4.0
199,-4.0,198,4.0
200,-12.0,199,12.0
201,-100.0,200,100.0
202,-204.0,201,204.0
203,-260.0,202,260.0
204,-300.0,203,300.0
205,-308.0,204,308.0
206,-316.0,205,316.0
207,-308.0,206,308.0
208,-236.0,207,236.0
209,-156.0,208,156.0
210,-68.0,209,68.0
211,-4.0,210,4.0
212,-4.0,211,4.0
213,-4.0,212,4.0
214,-12.0,213,12.0
215,-4.0,214,4.0
216,-4.0,215,4.0
217,-4.0,216,4.0
218,-4.0,217,4.0
219,-12.0,218,12.0
220,-20.0,219,20.0
221,-116.0,220,116.0
222,-204.0,221,204.0
223,-268.0,222,268.0
224,-300.0,223,300.0
225,-308.0,224,308.0
226,-316.0,225,316.0
227,-308.0,226,308.0
228,-244.0,227,244.0
229,-156.0,228,156.0
230,-68.0,229,68.0
231,-12.0,230,12.0
232,-4.0,231,4.0
233,-12.0,232,12.0
234,-12.0,233,12.0
235,-4.0,234,4.0
236,-4.0,235,4.0
237,-4.0,236,4.0
238,-4.0,237,4.0
239,-4.0,238,4.0
240,-20.0,239,20.0
241,-100.0,240,100.0
242,-196.0,241,196.0
243,-268.0,242,268.0
244,-300.0,243,300.0
245,-316.0,244,316.0
246,-316.0,245,316.0
247,-308.0,246,308.0
248,-244.0,247,244.0
249,-164.0,248,164.0
250,-76.0,249,76.0
251,-4.0,250,4.0
252,-12.0,251,12.0
253,-4.0,252,4.0
254,-4.0,253,4.0
255,-4.0,254,4.0
256,-4.0,255,4.0
257,-4.0,256,4.0
258,-4.0,257,4.0
259,-4.0,258,4.0
260,-12.0,259,12.0
261,-108.0,260,108.0
262,-196.0,261,196.0
263,-268.0,262,268.0
264,-300.0,263,300.0
265,-308.0,264,308.0
266,-316.0,265,316.0
267,-308.0,266,308.0
268,-244.0,267,244.0
269,-156.0,268,156.0
270,-76.0,269,76.0
271,-4.0,270,4.0
272,-12.0,271,12.0
273,-4.0,272,4.0
274,-12.0,273,12.0
275,-12.0,274,12.0
276,-4.0,275,4.0
277,-4.0,276,4.0
278,-4.0,277,4.0
279,-4.0,278,4.0
280,-12.0,279,12.0
281,-100.0,280,100.0
282,-196.0,281,196.0
283,-268.0,282,268.0
284,-300.0,283,300.0
285,-308.0,284,308.0
286,-316.0,285,316.0
287,-308.0,286,308.0
288,-244.0,287,244.0
289,-164.0,288,164.0
290,-76.0,289,76.0
291,-4.0,290,4.0
292,-4.0,291,4.0
293,-4.0,292,4.0
294,-4.0,293,4.0
295,-12.0,294,12.0
296,-4.0,295,4.0
297,-4.0,296,4.0
298,-4.0,297,4.0
299,-4.0,298,4.0
300,-12.0,299,12.0
301,-100.0,300,100.0
302,-196.0,301,196.0
303,-260.0,302,260.0
304,-300.0,303,300.0
305,-316.0,304,316.0
306,-316.0,305,316.0
307,-308.0,306,308.0
308,-244.0,307,244.0
309,-164.0,308,164.0
310,-76.0,309,76.0
311,-4.0,310,4.0
312,-4.0,311,4.0
313,-4.0,312,4.0
314,-4.0,313,4.0
315,-12.0,314,12.0
316,-4.0,315,4.0
317,-4.0,316,4.0
318,-4.0,317,4.0
319,-4.0,318,4.0
320,-20.0,319,20.0
321,-100.0,320,100.0
322,-196.0,321,196.0
323,-268.0,322,268.0
324,-300.0,323,300.0
325,-308.0,324,308.0
326,-316.0,325,316.0
327,-308.0,326,308.0
328,-244.0,327,244.0
329,-164.0,328,164.0
330,-76.0,329,76.0
331,-4.0,330,4.0
332,-4.0,331,4.0
333,-4.0,332,4.0
334,-4.0,333,4.0
335,-4.0,334,4.0
336,-4.0,335,4.0
337,-12.0,336,12.0
338,-12.0,337,12.0
339,-4.0,338,4.0
340,-12.0,339,12.0
341,-100.0,340,100.0
342,-196.0,341,196.0
343,-268.0,342,268.0
344,-300.0,343,300.0
345,-308.0,344,308.0
346,-316.0,345,316.0
347,-308.0,346,308.0
348,-244.0,347,244.0
349,-164.0,348,164.0
350,-76.0,349,76.0
351,-12.0,350,12.0
352,-12.0,351,12.0
353,-4.0,352,4.0
354,-12.0,353,12.0
355,-4.0,354,4.0
356,-4.0,355,4.0
357,-4.0,356,4.0
358,-4.0,357,4.0
359,-4.0,358,4.0
360,-20.0,359,20.0
361,-100.0,360,100.0
362,-196.0,361,196.0
363,-260.0,362,260.0
364,-300.0,363,300.0
365,-308.0,364,308.0
366,-316.0,365,316.0
367,-308.0,366,308.0
368,-252.0,367,252.0
369,-164.0,368,164.0
370,-84.0,369,84.0
371,-12.0,370,12.0
372,-4.0,371,4.0
373,-4.0,372,4.0
374,-4.0,373,4.0
375,-4.0,374,4.0
376,-12.0,375,12.0
377,-4.0,376,4.0
378,-12.0,377,12.0
379,-4.0,378,4.0
380,-12.0,379,12.0
381,-100.0,380,100.0
382,-196.0,381,196.0
383,-260.0,382,260.0
384,-300.0,383,300.0
385,-308.0,384,308.0
386,-316.0,385,316.0
387,-308.0,386,308.0
388,-252.0,387,252.0
389,-164.0,388,164.0
390,-76.0,389,76.0
391,-12.0,390,12.0
392,-12.0,391,12.0
393,-12.0,392,12.0
394,-4.0,393,4.0
395,-4.0,394,4.0
396,-4.0,395,4.0
397,-12.0,396,12.0
398,-4.0,397,4.0
399,-4.0,398,4.0
400,-12.0,399,12.0
401,-92.0,400,92.0
402,-188.0,401,188.0
403,-260.0,402,260.0
404,-300.0,403,300.0
405,-308.0,404,308.0
406,-308.0,405,308.0
407,-308.0,406,308.0
408,-244.0,407,244.0
409,-164.0,408,164.0
410,-76.0,409,76.0
411,-12.0,410,12.0
412,-4.0,411,4.0
413,-12.0,412,12.0
414,-4.0,413,4.0
415,-4.0,414,4.0
416,-4.0,415,4.0
417,-4.0,416,4.0
418,-4.0,417,4.0
419,-12.0,418,12.0
420,-12.0,419,12.0
421,-100.0,420,100.0
422,-196.0,421,196.0
423,-260.0,422,260.0
424,-300.0,423,300.0
425,-316.0,424,316.0
426,-316.0,425,316.0
427,-308.0,426,308.0
428,-252.0,427,252.0
429,-172.0,428,172.0
430,-76.0,429,76.0
431,-4.0,430,4.0
432,-4.0,431,4.0
433,-4.0,432,4.0
434,-4.0,433,4.0
435,-4.0,434,4.0
436,-12.0,435,12.0
437,-4.0,436,4.0
438,-4.0,437,4.0
439,-4.0,438,4.0
440,-4.0,439,4.0
441,-92.0,440,92.0
442,-196.0,441,196.0
443,-260.0,442,260.0
444,-292.0,443,292.0
445,-308.0,444,308.0
446,-316.0,445,316.0
447,-308.0,446,308.0
448,-252.0,447,252.0
449,-164.0,448,164.0
450,-76.0,449,76.0
451,-4.0,450,4.0
452,-4.0,451,4.0
453,-4.0,452,4.0
454,-4.0,453,4.0
455,-4.0,454,4.0
456,-4.0,455,4.0
457,-4.0,456,4.0
458,-12.0,457,12.0
459,-4.0,458,4.0
460,-12.0,459,12.0
461,-92.0,460,92.0
462,-188.0,461,188.0
463,-260.0,462,260.0
464,-300.0,463,300.0
465,-308.0,464,308.0
466,-316.0,465,316.0
467,-308.0,466,308.0
468,-252.0,467,252.0
469,-172.0,468,172.0
470,-84.0,469,84.0
471,-12.0,470,12.0
472,-4.0,471,4.0
473,-4.0,472,4.0
474,-4.0,473,4.0
475,-4.0,474,4.0
476,-12.0,475,12.0
477,-4.0,476,4.0
478,-12.0,477,12.0
479,-12.0,478,12.0
480,-12.0,479,12.0
481,-92.0,480,92.0
482,-188.0,481,188.0
483,-260.0,482,260.0
484,-300.0,483,300.0
485,-308.0,484,308.0
486,-316.0,485,316.0
487,-308.0,486,308.0
488,-252.0,487,252.0
489,-172.0,488,172.0
490,-84.0,489,84.0
491,-4.0,490,4.0
492,-4.0,491,4.0
493,-4.0,492,4.0
494,-4.0,493,4.0
495,-4.0,494,4.0
496,-4.0,495,4.0
497,-4.0,496,4.0
498,-4.0,497,4.0
499,-4.0,498,4.0
500,-4.0,499,4.0
501,-92.0,500,92.0
502,-188.0,501,188.0
503,-260.0,502,260.0
504,-292.0,503,292.0
505,-308.0,504,308.0
506,-316.0,505,316.0
507,-308.0,506,308.0
508,-252.0,507,252.0
509,-172.0,508,172.0
510,-84.0,509,84.0
511,-4.0,510,4.0
512,-12.0,511,12.0
513,-4.0,512,4.0
514,-4.0,513,4.0
515,-4.0,514,4.0
516,-4.0,515,4.0
517,-12.0,516,12.0
518,-12.0,517,12.0
519,-4.0,518,4.0
520,-4.0,519,4.0
521,-84.0,520,84.0
522,-188.0,521,188.0
523,-260.0,522,260.0
524,-292.0,523,292.0
525,-308.0,524,308.0
526,-316.0,525,316.0
527,-308.0,526,308.0
528,-252.0,527,252.0
529,-172.0,528,172.0
530,-84.0,529,84.0
