pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,valve_open_count,valve_state_label,valve_phase
2026-05-24T23:16:26.779,428071,535,0.431,0.642,0.427,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,-,Belum ditandai,unset
2026-05-24T23:16:27.307,428642,534,0.43,0.641,0.423,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,-,Belum ditandai,unset
2026-05-24T23:16:27.862,429162,533,0.43,0.64,0.419,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,-,Belum ditandai,unset
2026-05-24T23:16:28.377,429685,532,0.429,0.639,0.416,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,-,Belum ditandai,unset
2026-05-24T23:16:28.882,430205,533,0.43,0.64,0.419,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,-,Belum ditandai,unset
2026-05-24T23:16:29.427,430760,530,0.427,0.636,0.409,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:29.988,431280,530,0.427,0.636,0.409,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:30.595,431902,531,0.428,0.637,0.412,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:31.157,432457,512,0.413,0.615,0.344,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:31.656,432978,532,0.429,0.639,0.416,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:32.154,433495,532,0.429,0.639,0.416,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:32.712,434015,545,0.439,0.654,0.463,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:33.273,434581,532,0.429,0.639,0.416,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:33.892,435205,536,0.432,0.643,0.43,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:34.475,435826,532,0.429,0.639,0.416,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:35.004,436346,534,0.43,0.641,0.423,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:35.566,436912,523,0.421,0.628,0.383,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:36.065,437432,532,0.429,0.639,0.416,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:36.625,437950,534,0.43,0.641,0.423,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,5,5 keran stabil,stable
2026-05-24T23:16:37.170,438505,530,0.427,0.636,0.409,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,4,4 keran stabil,stable
2026-05-24T23:16:37.669,439025,530,0.427,0.636,0.409,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,4,4 keran stabil,stable
2026-05-24T23:16:38.204,439543,530,0.427,0.636,0.409,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,4,4 keran stabil,stable
2026-05-24T23:16:38.822,440167,512,0.413,0.615,0.344,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,4,4 keran stabil,stable
2026-05-24T23:16:39.381,440723,532,0.429,0.639,0.416,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,4,4 keran stabil,stable
2026-05-24T23:16:39.880,441243,533,0.43,0.64,0.419,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,4,4 keran stabil,stable
2026-05-24T23:16:40.380,441760,532,0.429,0.639,0.416,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,4,4 keran stabil,stable
2026-05-24T23:16:40.895,442280,532,0.429,0.639,0.416,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,4,4 keran stabil,stable
2026-05-24T23:16:41.399,442742,531,0.428,0.637,0.412,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,4,4 keran stabil,stable
2026-05-24T23:16:41.893,443262,530,0.427,0.636,0.409,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,4,4 keran stabil,stable
2026-05-24T23:16:42.413,443779,531,0.428,0.637,0.412,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,4,4 keran stabil,stable
2026-05-24T23:16:42.948,444299,533,0.43,0.64,0.419,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,4,4 keran stabil,stable
2026-05-24T23:16:43.479,444865,604,0.487,0.725,0.675,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,3,3 keran stabil,stable
2026-05-24T23:16:44.039,445385,528,0.425,0.634,0.401,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,3,3 keran stabil,stable
2026-05-24T23:16:44.643,446006,531,0.428,0.637,0.412,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,3,3 keran stabil,stable
2026-05-24T23:16:45.201,446572,530,0.427,0.636,0.409,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,3,3 keran stabil,stable
2026-05-24T23:16:45.702,447092,460,0.371,0.552,0.156,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,3,3 keran stabil,stable
2026-05-24T23:16:46.326,447714,553,0.446,0.664,0.491,45.0,5000,99.0,1,0.0,0.0,0,0.0,0.0,0,3,3 keran stabil,stable
